city,system:index,building_count,std_dev_area,total_area,geometry,population_density,temperature_anomaly,greenness
Buenos-Aires,0,361,333.5061529919577,57822.19423700714,"POLYGON ((-58.9 -34.89999999999999, -58.85 -34.89999999999999, -58.85 -34.85000000000001, -58.9 -34.85, -58.9 -34.89999999999999))",50.064663478306365,0.12165928,0.38353345
Buenos-Aires,1,2284,188.1929987283129,308502.81949786074,"POLYGON ((-58.9 -34.85, -58.85 -34.85000000000001, -58.85 -34.800000000000004, -58.9 -34.800000000000004, -58.9 -34.85))",511.2857862200056,0.12165928,0.38353345
Buenos-Aires,2,2541,276.325641415395,287125.4658954033,"POLYGON ((-58.9 -34.800000000000004, -58.85 -34.800000000000004, -58.85 -34.75000000000001, -58.9 -34.75000000000001, -58.9 -34.800000000000004))",1137.033533368792,0.12903112,0.37651289
Buenos-Aires,3,85,323.9596998313166,14122.718065081786,"POLYGON ((-58.9 -34.75000000000001, -58.85 -34.75000000000001, -58.85 -34.70000000000001, -58.9 -34.70000000000001, -58.9 -34.75000000000001))",322.1161902291434,0.13656768,0.35217893
Buenos-Aires,4,997,162.67297360329263,84851.5760679245,"POLYGON ((-58.9 -34.70000000000001, -58.85 -34.70000000000001, -58.85 -34.65000000000001, -58.9 -34.65000000000001, -58.9 -34.70000000000001))",3180.069580078125,0.13787591,0.32191306
Buenos-Aires,5,30635,106.4464192686284,2557516.9814303103,"POLYGON ((-58.9 -34.65000000000001, -58.85 -34.65000000000001, -58.85 -34.60000000000002, -58.9 -34.60000000000002, -58.9 -34.65000000000001))",2855.219168526786,0.13787591,0.32191306
Buenos-Aires,6,10297,529.9709622064628,1527681.2610996985,"POLYGON ((-58.9 -34.60000000000002, -58.85 -34.60000000000002, -58.85 -34.550000000000026, -58.9 -34.55000000000002, -58.9 -34.60000000000002))",1569.2154541015625,0.13592899,0.3175009
Buenos-Aires,7,4163,405.3485584823593,600264.3745257836,"POLYGON ((-58.9 -34.55000000000002, -58.85 -34.550000000000026, -58.85 -34.50000000000002, -58.9 -34.50000000000002, -58.9 -34.55000000000002))",776.3969072614398,0.12492907,0.35674948
Buenos-Aires,8,19859,159.9164288717603,1946821.269815209,"POLYGON ((-58.9 -34.50000000000002, -58.85 -34.50000000000002, -58.85 -34.450000000000024, -58.9 -34.450000000000024, -58.9 -34.50000000000002))",1933.4753243582588,0.10780293,0.33345497
Buenos-Aires,9,20028,379.4384523512985,2313418.3174198307,"POLYGON ((-58.9 -34.450000000000024, -58.85 -34.450000000000024, -58.85 -34.40000000000003, -58.9 -34.40000000000003, -58.9 -34.450000000000024))",1567.5763346354167,0.096747756,0.35588658
Buenos-Aires,10,6,2474.752948253864,16655.94623781738,"POLYGON ((-58.9 -34.40000000000003, -58.85 -34.40000000000003, -58.85 -34.35000000000003, -58.9 -34.35000000000003, -58.9 -34.40000000000003))",1292.42041015625,0.096747756,0.35588658
Buenos-Aires,11,473,644.0491135362321,191429.7383876434,"POLYGON ((-58.85 -34.89999999999999, -58.800000000000004 -34.89999999999999, -58.800000000000004 -34.849999999999994, -58.85 -34.85000000000001, -58.85 -34.89999999999999))",121.3950399671282,0.124005795,0.37752366
Buenos-Aires,12,1391,424.1604043981176,247970.55219792863,"POLYGON ((-58.85 -34.85000000000001, -58.800000000000004 -34.849999999999994, -58.800000000000004 -34.8, -58.85 -34.800000000000004, -58.85 -34.85000000000001))",227.80705642700195,0.124005795,0.37752366
Buenos-Aires,13,19952,91.8113915304473,1676878.5846550006,"POLYGON ((-58.85 -34.800000000000004, -58.800000000000004 -34.8, -58.800000000000004 -34.75, -58.85 -34.75000000000001, -58.85 -34.800000000000004))",746.4505468096052,0.12774646,0.36737454
Buenos-Aires,14,8325,60.62411321288333,574025.8537541237,"POLYGON ((-58.85 -34.75000000000001, -58.800000000000004 -34.75, -58.800000000000004 -34.70000000000001, -58.85 -34.70000000000001, -58.85 -34.75000000000001))",1248.5822069077265,0.13500798,0.34398597
Buenos-Aires,15,27002,84.25240093232955,1970705.94421804,"POLYGON ((-58.85 -34.70000000000001, -58.800000000000004 -34.70000000000001, -58.800000000000004 -34.650000000000006, -58.85 -34.65000000000001, -58.85 -34.70000000000001))",2801.287283761161,0.13667893,0.31257436
Buenos-Aires,16,32756,265.79788095880605,2879494.472728141,"POLYGON ((-58.85 -34.65000000000001, -58.800000000000004 -34.650000000000006, -58.800000000000004 -34.60000000000002, -58.85 -34.60000000000002, -58.85 -34.65000000000001))",3421.741524832589,0.13667893,0.31257436
Buenos-Aires,17,16291,407.8057678637393,1697918.958579402,"POLYGON ((-58.85 -34.60000000000002, -58.800000000000004 -34.60000000000002, -58.800000000000004 -34.55000000000002, -58.85 -34.550000000000026, -58.85 -34.60000000000002))",1396.0320042201452,0.13592899,0.3175009
Buenos-Aires,18,28607,143.6468549550069,2194587.951742756,"POLYGON ((-58.85 -34.550000000000026, -58.800000000000004 -34.55000000000002, -58.800000000000004 -34.500000000000014, -58.85 -34.50000000000002, -58.85 -34.550000000000026))",2879.418329148066,0.123232245,0.32432827
Buenos-Aires,19,30344,98.5427337194286,2418552.5696337847,"POLYGON ((-58.85 -34.50000000000002, -58.800000000000004 -34.500000000000014, -58.800000000000004 -34.45000000000002, -58.85 -34.450000000000024, -58.85 -34.50000000000002))",2168.56894211542,0.10630536,0.32835165
Buenos-Aires,20,16763,177.28015531075957,2051107.8723408491,"POLYGON ((-58.85 -34.450000000000024, -58.800000000000004 -34.45000000000002, -58.800000000000004 -34.40000000000002, -58.85 -34.40000000000003, -58.85 -34.450000000000024))",1595.4875895182292,0.09358859,0.34492674
Buenos-Aires,21,4,2735.2070292686017,9986.90251611328,"POLYGON ((-58.85 -34.40000000000003, -58.800000000000004 -34.40000000000002, -58.800000000000004 -34.35000000000002, -58.85 -34.35000000000003, -58.85 -34.40000000000003))",1292.42041015625,0.09358859,0.34492674
Buenos-Aires,22,130,175.11939044142215,21404.424480438232,"POLYGON ((-58.800000000000004 -34.89999999999999, -58.75000000000001 -34.89999999999999, -58.75000000000001 -34.85, -58.800000000000004 -34.849999999999994, -58.800000000000004 -34.89999999999999))",67.9464472167346,0.12635958,0.37039712
Buenos-Aires,23,150,167.47322515611037,18589.772031784058,"POLYGON ((-58.800000000000004 -34.849999999999994, -58.75000000000001 -34.85, -58.75000000000001 -34.800000000000004, -58.800000000000004 -34.8, -58.800000000000004 -34.849999999999994))",83.20878920263173,0.12635958,0.37039712
Buenos-Aires,24,822,239.50669599730767,87629.8200494339,"POLYGON ((-58.800000000000004 -34.8, -58.75000000000001 -34.800000000000004, -58.75000000000001 -34.75000000000001, -58.800000000000004 -34.75, -58.800000000000004 -34.8))",288.8355402265276,0.12518096,0.35387313
Buenos-Aires,25,22469,85.60070392746546,1616701.3164057494,"POLYGON ((-58.800000000000004 -34.75, -58.75000000000001 -34.75000000000001, -58.75000000000001 -34.70000000000001, -58.800000000000004 -34.70000000000001, -58.800000000000004 -34.75))",2347.5999089455117,0.13188714,0.319008
Buenos-Aires,26,54422,87.52703037617033,3993907.139997126,"POLYGON ((-58.800000000000004 -34.70000000000001, -58.75000000000001 -34.70000000000001, -58.75000000000001 -34.65000000000001, -58.800000000000004 -34.650000000000006, -58.800000000000004 -34.70000000000001))",4978.561722735969,0.13428271,0.2727531
Buenos-Aires,27,56418,163.79409745374886,4385826.923285679,"POLYGON ((-58.800000000000004 -34.650000000000006, -58.75000000000001 -34.65000000000001, -58.75000000000001 -34.60000000000002, -58.800000000000004 -34.60000000000002, -58.800000000000004 -34.650000000000006))",4544.227205237564,0.14268458,0.2441433
